restaurant,street_address,city_zip,comments
Pure Thai Cookhouse,766 9th Ave (b/t 51st St & 52nd St) Hell's Kitchen New York, NY 10019,I had chicken satay skewers  vegetable dumplings and rice and the food was great. Everything was tasty and fresh and the service was quick and friendly.This place was awesome. Perfect portion sizes (look small  but are filling) very authentic  and fun atmosphere.Yea! The remix was much better! This cozy simple Thai restaurant is filled with locals  tourists in tiny two-fers; sitting lined on against the wall or at a...
Dafni Greek Taverna,325 W 42nd St (b/t 8th Ave & 9th Ave) Hell's Kitchen New York, NY 10036,We stumbled into this placeMmmmm - now i will not pretend to know what "real" greek food is  but dafni's has never failed me!! (and i am either here or order from here about once a...Been here a few times.  Everything I've had here has been delicious.  Great food  good service.  Gyro meat is excellent.
Qi,675 8th Ave (b/t 42nd St & 43rd St) Hell's Kitchen New York, NY 10036,Love this place ! Yummy food especially the chicken puffs  satay  red/green/panang curries and pad Thai noodles !  And yes I'm an absolute fan of their Thai...The food was EXCELLENT at a very good price! I expected to pay a lot more for the neighborhood.   The wait staff was lacking but not enough to keep me from...While it has a nice ambience  the food leaves something to be desired. A starter salad was soggy and bland--lacking any strong flavor. The duck curry dinner...
Taboon,773 10th Ave (b/t 52nd St & 53rd St) Hell's Kitchen New York, NY 10019,Fantastic appetizer platter :) hummus is unbelievable  and bread even better - kept asking for more and dipped it in everything else  including the light...One of the best Sunday brunches in the city in my opinion...and I'm a brunch lover. Delicious  tastefully presented food. Sort of minimalist in a good way ...My favorite restaurant in New York!  The amazing food  the white-washed tables and ceiling fans  and the gracious service all combine to transport you! Not...
La Silhouette,362 W 53rd St (b/t 8th Ave & 9th Ave) Hell's Kitchen New York, NY 10019,Food was tasty.  Service was interesting -- earnest but not world class.Very nice place! Super great food and even better service. I am giving 4 stars because of the price. It has three $$$ when it should be more of a $$$$....We went there for a special occasion.  Since we had tickets for the ballet after dinner  we had to eat a little on the early side.  The place only had one...
Print,653 11th Ave (b/t 47th St & 48th St) Hell's Kitchen New York, NY 10036,Perfect service  fresh heavenly food  lunch spot easy to get to on the west side. I love Print  would go again in a second!Print used to be the super-happening weekend hotspot when it was brand new.  Crowded to the hilt  with a line up to the rooftop bar.  Alas  times (and the...When I dined here  I didn't realize that it was inside the Ink48 hotel (and upstairs Press Lounge). I finally put it all together. INK / PRINT / PRESS....
Q2 Thai,788 9th Ave (b/t 52nd St & 53rd St) Hell's Kitchen New York, NY 10019,This is one of my personal favorite lunch spots in Hell's kitchen. Their daily lunch special includes one appetizer  one side salad  one soda  and one...Not impressed at all.  I had a hair in my food and didn't make a big stink about it since I was with friends.  The food wasn't bad  but I think that just...I've become very wary of restaurants that don't explicitly aim to serve gluten-free foods  where the staff does not speak great English  and the staff don't...
Orso,322 W 46th Street (b/t 8th Ave & 9th Ave) Hell's Kitchen New York, NY 10036,We dined here before a show based on Yelp reviews. I should have been wary of the reviews based on the fact that this is a theater district restaurant...Met my family here for dinner last week and my mother had said - "Oh I was able to get reservations!" which made me think it was hard to get in or...Excellent food great service and romantic place!! We started with very nice surprise with escargots (Lumache in Brodetto) cooked in the way we do in my...
Asiate,80 Columbus Cir Hell's Kitchen New York, NY 10019 ,After two visits to Asiate  I've come to think of this as the definition of a five-star restaurant.  The service both times has been wonderful.  One of my...My friend and I made a reservation for the 11:45 brunch.  We were the first two to be seated.  When we asked for seating next to the window  we were told...Great view.  Comfortable and quiet (the best attributes). Good service.  Decent food  but not amazing.  Worth trying at least once for a relaxing brunch.
Danji,346 W 52nd St (b/t 8th Ave & 9th Ave) Hell's Kitchen New York, NY 10019,Small  modern  minimalist.  Danji offer contemporary Korean cuisine at communal tables.  Menus are located in the custom drawers for their high top tables ...Honestly I was shocked at how good the reviews on this restaurant were. This is the first time I have ever felt the need to write a Yelp review simply...food is okay but not worth the wait in the cramped space. their sangria is really good though i have tried better korean food in my life but its worth a try...
Cara Mia,654 9th Ave (b/t 45th St & 46th St) Hell's Kitchen New York, NY 10036,Best Italian in Hell's Kitchen  hands down!!! Their food is fresh  and soooo tasty. Everytime I come here  the service is great. The wine list is pretty...Went to Cara Mia for the first time last night for dinner with the girls.  The ambiance was really cute  brick walls  Italian decor  candles and dim...What can I say other than AMAZING service and overall dining experience. I've come here on multiple occasions and service consistently exceeds expectations....
Chez Josephine,414 W 42nd St (b/t 9th Ave & Dyer Ave) Hell's Kitchen New York, NY 10036,Oh Jean Claude  you really have to do better; One day you fall all over me and the next you know me not! Food more and more erratic and service not up to par.A great french bistro. In the 1930's style.  Jean claude the owner is a great flamboyant host with a great menu!3 of us went for lunch and was pleasantly surprised by the professional staff and piano player! My sister and I split the spaghetti (Josephine's favorite)...
Bann,350 W 50th St (b/t 8th Ave & 9th Ave) Hell's Kitchen New York, NY 10019,BBQ chicken was awesome!!!! Ambiance was great!I walked past here one day and happened to have a craving for Korean food. So why not? I ordered a Bibimbap to go and was very happy with it. Probably not...The food  service  ambiance   & even the music was great. We ordered tuna bbq & sea bass  & both came with a spicy green salad. We bbq'ed the tuna ourselves...Becco,355 W 46th St (b/t 8th Ave & 9th Ave) Hell's Kitchen New York, NY 10036,Arrived without reservations on 03 October. Staff treated our party very professionally. Wait time was predicted with reasonable accuracy. Food was great....I made reservation thru open table at 12pm on Saturday  and due to my friend's train delay  I called to the restaurant and changed my reservation (twice!!)...Arrived around 4:45pm on a Tues evening prior to a Broadway show. Food was good and the $25 bottles of wine were even better. My sister ordered a triple...
Tramonti,364 W 46th St (b/t 9th Ave & 8th Ave) Hell's Kitchen New York, NY 10036,The dinner was great  the drinks were tasty and strong.  The service was a fine  but the location was a bit tight!  The one downer was the cheese cake was a...Typical Italian fare here  prepared well.  This place is always packed...so  call ahead for reservations  and be prepared to sit sandwiched between your...Head waiter was homophobic.
Vice Versa Restaurant,325 W 51st St (b/t 8th Ave & 9th Ave) Hell's Kitchen New York, NY 10019,Our waiter didn't show.  We left.  Pathetic.  This restaurant may be trading on its 'history'.  After sitting 10 minutes without any service whatsoever  we...Nice  friendly restaurant with great service and food.  I love sitting at the bar and enjoy the food and conversations with fellow guests and bartenders....Have eaten here...twenty times maybe  since I've lived in NYC..Never disappointed ... I believe the same person has greeted me at the door each time......
Firebird Restaurant,365 W 46th St (b/t 9th Ave & 8th Ave) Hell's Kitchen New York, NY 10036,I don't get all these positive reviews especially given all the great places here in Manhattan. This place is totally overpriced with mediocre food. Wait...I love Firebird. I mean really  really I do.  I have only eaten a full meal there once and had the Chicken Kiev. IDK why but I have a hard time NOT ordering...Nice cozy decor. It does give you the feeling of dining in Russia. Make sure to try one their caviar dish from their menu. They prepare it with honey  cream...
Room Service,690 9th Ave (b/t 47th St & 48th St) Hell's Kitchen New York, NY 10036,This was an OK thai place. The inside is pretty but this place has some issues.  First  the food was nothing special. Our two guests ordered chicken pad...Wonderful experience!  Food is delicious & artistically presented. Beautifully decorated  with warmth & creativity. A fun & relaxing atmosphere.Got lost trying to get to a popular ramen joint due to Foursquare giving wrong directions & ended up here instead. Whatever tho  I'm not even mad. The food...
Pure Thai Cookhouse,766 9th Ave (b/t 51st St & 52nd St) Hell's Kitchen New York, NY 10019,I had chicken satay skewers  vegetable dumplings and rice and the food was great. Everything was tasty and fresh and the service was quick and friendly.This place was awesome. Perfect portion sizes (look small  but are filling) very authentic  and fun atmosphere.Yea! The remix was much better! This cozy simple Thai restaurant is filled with locals  tourists in tiny two-fers; sitting lined on against the wall or at a...
Qi,675 8th Ave (b/t 42nd St & 43rd St) Hell's Kitchen New York, NY 10036,Love this place ! Yummy food especially the chicken puffs  satay  red/green/panang curries and pad Thai noodles !  And yes I'm an absolute fan of their Thai...The food was EXCELLENT at a very good price! I expected to pay a lot more for the neighborhood.   The wait staff was lacking but not enough to keep me from...While it has a nice ambience  the food leaves something to be desired. A starter salad was soggy and bland--lacking any strong flavor. The duck curry dinner...
Taboon,773 10th Ave (b/t 52nd St & 53rd St) Hell's Kitchen New York, NY 10019,Fantastic appetizer platter :) hummus is unbelievable  and bread even better - kept asking for more and dipped it in everything else  including the light...One of the best Sunday brunches in the city in my opinion...and I'm a brunch lover. Delicious  tastefully presented food. Sort of minimalist in a good way ...My favorite restaurant in New York!  The amazing food  the white-washed tables and ceiling fans  and the gracious service all combine to transport you! Not...
Dafni Greek Taverna,325 W 42nd St (b/t 8th Ave & 9th Ave) Hell's Kitchen New York, NY 10036,We stumbled into this placeMmmmm - now i will not pretend to know what "real" greek food is  but dafni's has never failed me!! (and i am either here or order from here about once a...Been here a few times.  Everything I've had here has been delicious.  Great food  good service.  Gyro meat is excellent.
La Silhouette,362 W 53rd St (b/t 8th Ave & 9th Ave) Hell's Kitchen New York, NY 10019,Food was tasty.  Service was interesting -- earnest but not world class.Very nice place! Super great food and even better service. I am giving 4 stars because of the price. It has three $$$ when it should be more of a $$$$....We went there for a special occasion.  Since we had tickets for the ballet after dinner  we had to eat a little on the early side.  The place only had one...
Print,653 11th Ave (b/t 47th St & 48th St) Hell's Kitchen New York, NY 10036,Perfect service  fresh heavenly food  lunch spot easy to get to on the west side. I love Print  would go again in a second!Print used to be the super-happening weekend hotspot when it was brand new.  Crowded to the hilt  with a line up to the rooftop bar.  Alas  times (and the...When I dined here  I didn't realize that it was inside the Ink48 hotel (and upstairs Press Lounge). I finally put it all together. INK / PRINT / PRESS....
Q2 Thai,788 9th Ave (b/t 52nd St & 53rd St) Hell's Kitchen New York, NY 10019,This is one of my personal favorite lunch spots in Hell's kitchen. Their daily lunch special includes one appetizer  one side salad  one soda  and one...Not impressed at all.  I had a hair in my food and didn't make a big stink about it since I was with friends.  The food wasn't bad  but I think that just...I've become very wary of restaurants that don't explicitly aim to serve gluten-free foods  where the staff does not speak great English  and the staff don't...
Orso,322 W 46th Street (b/t 8th Ave & 9th Ave) Hell's Kitchen New York, NY 10036,We dined here before a show based on Yelp reviews. I should have been wary of the reviews based on the fact that this is a theater district restaurant...Met my family here for dinner last week and my mother had said - "Oh I was able to get reservations!" which made me think it was hard to get in or...Excellent food great service and romantic place!! We started with very nice surprise with escargots (Lumache in Brodetto) cooked in the way we do in my...
Asiate,80 Columbus Cir Hell's Kitchen New York, NY 10019 ,After two visits to Asiate  I've come to think of this as the definition of a five-star restaurant.  The service both times has been wonderful.  One of my...My friend and I made a reservation for the 11:45 brunch.  We were the first two to be seated.  When we asked for seating next to the window  we were told...Great view.  Comfortable and quiet (the best attributes). Good service.  Decent food  but not amazing.  Worth trying at least once for a relaxing brunch.
Danji,346 W 52nd St (b/t 8th Ave & 9th Ave) Hell's Kitchen New York, NY 10019,Small  modern  minimalist.  Danji offer contemporary Korean cuisine at communal tables.  Menus are located in the custom drawers for their high top tables ...Honestly I was shocked at how good the reviews on this restaurant were. This is the first time I have ever felt the need to write a Yelp review simply...food is okay but not worth the wait in the cramped space. their sangria is really good though i have tried better korean food in my life but its worth a try...
Cara Mia,654 9th Ave (b/t 45th St & 46th St) Hell's Kitchen New York, NY 10036,Best Italian in Hell's Kitchen  hands down!!! Their food is fresh  and soooo tasty. Everytime I come here  the service is great. The wine list is pretty...Went to Cara Mia for the first time last night for dinner with the girls.  The ambiance was really cute  brick walls  Italian decor  candles and dim...What can I say other than AMAZING service and overall dining experience. I've come here on multiple occasions and service consistently exceeds expectations....
Chez Josephine,414 W 42nd St (b/t 9th Ave & Dyer Ave) Hell's Kitchen New York, NY 10036,Oh Jean Claude  you really have to do better; One day you fall all over me and the next you know me not! Food more and more erratic and service not up to par.A great french bistro. In the 1930's style.  Jean claude the owner is a great flamboyant host with a great menu!3 of us went for lunch and was pleasantly surprised by the professional staff and piano player! My sister and I split the spaghetti (Josephine's favorite)...
Bann,350 W 50th St (b/t 8th Ave & 9th Ave) Hell's Kitchen New York, NY 10019,BBQ chicken was awesome!!!! Ambiance was great!I walked past here one day and happened to have a craving for Korean food. So why not? I ordered a Bibimbap to go and was very happy with it. Probably not...The food  service  ambiance   & even the music was great. We ordered tuna bbq & sea bass  & both came with a spicy green salad. We bbq'ed the tuna ourselves...
Pam Real Thai Food,404 W 49th St (b/t 9th Ave & 10th Ave) Hell's Kitchen New York, NY 10019,A good go to place for Thai food. Their crab meat fried rice is delicious. I found their Pad Key Mao so much more flavorful and tastier than their Pad See Eil.I think Pam Real Thai is in at least the top 5 of authentic Thai food in Manhattan. Couple of highlights here:  - I tend to come later in the evening and...Typical fake 'Thai food'  too sweet or salty. Ordered 'highly recommended' Somtum (papaya salad)   asked for thai spicy  got something sweet  without any...
Lattanzi Ristorante,361 W 46th St Frnt Hell's Kitchen New York, NY 10036 ,On my first night of most recent trip to Manhattan  I used Yelp to look up potential dinner places.  Found Lattanzi  and the idea of Jewish Roman sounded...If you must eat on Restaurant Row  Lattanzi is a good choice.  Familiar food and friendly service without being rushed.We tried Lattanzi  Restaurant located near Times Square. We were  seated immediately even though we had no reservations.The host found us a table in the...
Tramonti,364 W 46th St (b/t 9th Ave & 8th Ave) Hell's Kitchen New York, NY 10036,The dinner was great  the drinks were tasty and strong.  The service was a fine  but the location was a bit tight!  The one downer was the cheese cake was a...Typical Italian fare here  prepared well.  This place is always packed...so  call ahead for reservations  and be prepared to sit sandwiched between your...Head waiter was homophobic.
Vice Versa Restaurant,325 W 51st St (b/t 8th Ave & 9th Ave) Hell's Kitchen New York, NY 10019,Our waiter didn't show.  We left.  Pathetic.  This restaurant may be trading on its 'history'.  After sitting 10 minutes without any service whatsoever  we...Nice  friendly restaurant with great service and food.  I love sitting at the bar and enjoy the food and conversations with fellow guests and bartenders....Have eaten here...twenty times maybe  since I've lived in NYC..Never disappointed ... I believe the same person has greeted me at the door each time......
Firebird Restaurant,365 W 46th St (b/t 9th Ave & 8th Ave) Hell's Kitchen New York, NY 10036,I don't get all these positive reviews especially given all the great places here in Manhattan. This place is totally overpriced with mediocre food. Wait...I love Firebird. I mean really  really I do.  I have only eaten a full meal there once and had the Chicken Kiev. IDK why but I have a hard time NOT ordering...Nice cozy decor. It does give you the feeling of dining in Russia. Make sure to try one their caviar dish from their menu. They prepare it with honey  cream...
Room Service,690 9th Ave (b/t 47th St & 48th St) Hell's Kitchen New York, NY 10036,This was an OK thai place. The inside is pretty but this place has some issues.  First  the food was nothing special. Our two guests ordered chicken pad...Wonderful experience!  Food is delicious & artistically presented. Beautifully decorated  with warmth & creativity. A fun & relaxing atmosphere.Got lost trying to get to a popular ramen joint due to Foursquare giving wrong directions & ended up here instead. Whatever tho  I'm not even mad. The food...
Pure Thai Cookhouse,766 9th Ave (b/t 51st St & 52nd St) Hell's Kitchen New York, NY 10019,I had chicken satay skewers  vegetable dumplings and rice and the food was great. Everything was tasty and fresh and the service was quick and friendly.This place was awesome. Perfect portion sizes (look small  but are filling) very authentic  and fun atmosphere.Yea! The remix was much better! This cozy simple Thai restaurant is filled with locals  tourists in tiny two-fers; sitting lined on against the wall or at a...
Qi,675 8th Ave (b/t 42nd St & 43rd St) Hell's Kitchen New York, NY 10036,Love this place ! Yummy food especially the chicken puffs  satay  red/green/panang curries and pad Thai noodles !  And yes I'm an absolute fan of their Thai...The food was EXCELLENT at a very good price! I expected to pay a lot more for the neighborhood.   The wait staff was lacking but not enough to keep me from...While it has a nice ambience  the food leaves something to be desired. A starter salad was soggy and bland--lacking any strong flavor. The duck curry dinner...
Taboon,773 10th Ave (b/t 52nd St & 53rd St) Hell's Kitchen New York, NY 10019,Fantastic appetizer platter :) hummus is unbelievable  and bread even better - kept asking for more and dipped it in everything else  including the light...One of the best Sunday brunches in the city in my opinion...and I'm a brunch lover. Delicious  tastefully presented food. Sort of minimalist in a good way ...My favorite restaurant in New York!  The amazing food  the white-washed tables and ceiling fans  and the gracious service all combine to transport you! Not...
Dafni Greek Taverna,325 W 42nd St (b/t 8th Ave & 9th Ave) Hell's Kitchen New York, NY 10036,We stumbled into this placeMmmmm - now i will not pretend to know what "real" greek food is  but dafni's has never failed me!! (and i am either here or order from here about once a...Been here a few times.  Everything I've had here has been delicious.  Great food  good service.  Gyro meat is excellent.
La Silhouette,362 W 53rd St (b/t 8th Ave & 9th Ave) Hell's Kitchen New York, NY 10019,Food was tasty.  Service was interesting -- earnest but not world class.Very nice place! Super great food and even better service. I am giving 4 stars because of the price. It has three $$$ when it should be more of a $$$$....We went there for a special occasion.  Since we had tickets for the ballet after dinner  we had to eat a little on the early side.  The place only had one...
Print,653 11th Ave (b/t 47th St & 48th St) Hell's Kitchen New York, NY 10036,Perfect service  fresh heavenly food  lunch spot easy to get to on the west side. I love Print  would go again in a second!Print used to be the super-happening weekend hotspot when it was brand new.  Crowded to the hilt  with a line up to the rooftop bar.  Alas  times (and the...When I dined here  I didn't realize that it was inside the Ink48 hotel (and upstairs Press Lounge). I finally put it all together. INK / PRINT / PRESS....
Q2 Thai,788 9th Ave (b/t 52nd St & 53rd St) Hell's Kitchen New York, NY 10019,This is one of my personal favorite lunch spots in Hell's kitchen. Their daily lunch special includes one appetizer  one side salad  one soda  and one...Not impressed at all.  I had a hair in my food and didn't make a big stink about it since I was with friends.  The food wasn't bad  but I think that just...I've become very wary of restaurants that don't explicitly aim to serve gluten-free foods  where the staff does not speak great English  and the staff don't...
Orso,322 W 46th Street (b/t 8th Ave & 9th Ave) Hell's Kitchen New York, NY 10036,We dined here before a show based on Yelp reviews. I should have been wary of the reviews based on the fact that this is a theater district restaurant...Met my family here for dinner last week and my mother had said - "Oh I was able to get reservations!" which made me think it was hard to get in or...Excellent food great service and romantic place!! We started with very nice surprise with escargots (Lumache in Brodetto) cooked in the way we do in my...
Asiate,80 Columbus Cir Hell's Kitchen New York, NY 10019 ,After two visits to Asiate  I've come to think of this as the definition of a five-star restaurant.  The service both times has been wonderful.  One of my...My friend and I made a reservation for the 11:45 brunch.  We were the first two to be seated.  When we asked for seating next to the window  we were told...Great view.  Comfortable and quiet (the best attributes). Good service.  Decent food  but not amazing.  Worth trying at least once for a relaxing brunch.
Danji,346 W 52nd St (b/t 8th Ave & 9th Ave) Hell's Kitchen New York, NY 10019,Small  modern  minimalist.  Danji offer contemporary Korean cuisine at communal tables.  Menus are located in the custom drawers for their high top tables ...Honestly I was shocked at how good the reviews on this restaurant were. This is the first time I have ever felt the need to write a Yelp review simply...food is okay but not worth the wait in the cramped space. their sangria is really good though i have tried better korean food in my life but its worth a try...
Cara Mia,654 9th Ave (b/t 45th St & 46th St) Hell's Kitchen New York, NY 10036,Best Italian in Hell's Kitchen  hands down!!! Their food is fresh  and soooo tasty. Everytime I come here  the service is great. The wine list is pretty...Went to Cara Mia for the first time last night for dinner with the girls.  The ambiance was really cute  brick walls  Italian decor  candles and dim...What can I say other than AMAZING service and overall dining experience. I've come here on multiple occasions and service consistently exceeds expectations....
Chez Josephine,414 W 42nd St (b/t 9th Ave & Dyer Ave) Hell's Kitchen New York, NY 10036,Oh Jean Claude  you really have to do better; One day you fall all over me and the next you know me not! Food more and more erratic and service not up to par.A great french bistro. In the 1930's style.  Jean claude the owner is a great flamboyant host with a great menu!3 of us went for lunch and was pleasantly surprised by the professional staff and piano player! My sister and I split the spaghetti (Josephine's favorite)...
Bann,350 W 50th St (b/t 8th Ave & 9th Ave) Hell's Kitchen New York, NY 10019,BBQ chicken was awesome!!!! Ambiance was great!I walked past here one day and happened to have a craving for Korean food. So why not? I ordered a Bibimbap to go and was very happy with it. Probably not...The food  service  ambiance   & even the music was great. We ordered tuna bbq & sea bass  & both came with a spicy green salad. We bbq'ed the tuna ourselves...
Pam Real Thai Food,404 W 49th St (b/t 9th Ave & 10th Ave) Hell's Kitchen New York, NY 10019,A good go to place for Thai food. Their crab meat fried rice is delicious. I found their Pad Key Mao so much more flavorful and tastier than their Pad See Eil.I think Pam Real Thai is in at least the top 5 of authentic Thai food in Manhattan. Couple of highlights here:  - I tend to come later in the evening and...Typical fake 'Thai food'  too sweet or salty. Ordered 'highly recommended' Somtum (papaya salad)   asked for thai spicy  got something sweet  without any...
Lattanzi Ristorante,361 W 46th St Frnt Hell's Kitchen New York, NY 10036 ,On my first night of most recent trip to Manhattan  I used Yelp to look up potential dinner places.  Found Lattanzi  and the idea of Jewish Roman sounded...If you must eat on Restaurant Row  Lattanzi is a good choice.  Familiar food and friendly service without being rushed.We tried Lattanzi  Restaurant located near Times Square. We were  seated immediately even though we had no reservations.The host found us a table in the...
Rio & You,328 W 45th at 8 Ave Hell's Kitchen New York, NY 10036 ,I've always enjoy the intimate and warm welcome I get when dining out at Sushi restaurants. This one is no different.   We had several dishes before our...After almost 20 years in NYC I was getting tired of same old same old Japanese restaurants. Rio & You was a breath of fresh air--delicious food  authentic...We were looking for a good Japanese restaurant in the area near Central Park and it was about 10 blocks.  The food was tasty.  Our dinner started out with...
Vice Versa Restaurant,325 W 51st St (b/t 8th Ave & 9th Ave) Hell's Kitchen New York, NY 10019,Our waiter didn't show.  We left.  Pathetic.  This restaurant may be trading on its 'history'.  After sitting 10 minutes without any service whatsoever  we...Nice  friendly restaurant with great service and food.  I love sitting at the bar and enjoy the food and conversations with fellow guests and bartenders....Have eaten here...twenty times maybe  since I've lived in NYC..Never disappointed ... I believe the same person has greeted me at the door each time......
Firebird Restaurant,365 W 46th St (b/t 9th Ave & 8th Ave) Hell's Kitchen New York, NY 10036,I don't get all these positive reviews especially given all the great places here in Manhattan. This place is totally overpriced with mediocre food. Wait...I love Firebird. I mean really  really I do.  I have only eaten a full meal there once and had the Chicken Kiev. IDK why but I have a hard time NOT ordering...Nice cozy decor. It does give you the feeling of dining in Russia. Make sure to try one their caviar dish from their menu. They prepare it with honey  cream...
Room Service,690 9th Ave (b/t 47th St & 48th St) Hell's Kitchen New York, NY 10036,This was an OK thai place. The inside is pretty but this place has some issues.  First  the food was nothing special. Our two guests ordered chicken pad...Wonderful experience!  Food is delicious & artistically presented. Beautifully decorated  with warmth & creativity. A fun & relaxing atmosphere.Got lost trying to get to a popular ramen joint due to Foursquare giving wrong directions & ended up here instead. Whatever tho  I'm not even mad. The food...
Pure Thai Cookhouse,766 9th Ave (b/t 51st St & 52nd St) Hell's Kitchen New York, NY 10019,I had chicken satay skewers  vegetable dumplings and rice and the food was great. Everything was tasty and fresh and the service was quick and friendly.This place was awesome. Perfect portion sizes (look small  but are filling) very authentic  and fun atmosphere.Yea! The remix was much better! This cozy simple Thai restaurant is filled with locals  tourists in tiny two-fers; sitting lined on against the wall or at a...
Qi,675 8th Ave (b/t 42nd St & 43rd St) Hell's Kitchen New York, NY 10036,Love this place ! Yummy food especially the chicken puffs  satay  red/green/panang curries and pad Thai noodles !  And yes I'm an absolute fan of their Thai...The food was EXCELLENT at a very good price! I expected to pay a lot more for the neighborhood.   The wait staff was lacking but not enough to keep me from...While it has a nice ambience  the food leaves something to be desired. A starter salad was soggy and bland--lacking any strong flavor. The duck curry dinner...
Taboon,773 10th Ave (b/t 52nd St & 53rd St) Hell's Kitchen New York, NY 10019,Fantastic appetizer platter :) hummus is unbelievable  and bread even better - kept asking for more and dipped it in everything else  including the light...One of the best Sunday brunches in the city in my opinion...and I'm a brunch lover. Delicious  tastefully presented food. Sort of minimalist in a good way ...My favorite restaurant in New York!  The amazing food  the white-washed tables and ceiling fans  and the gracious service all combine to transport you! Not...
Dafni Greek Taverna,325 W 42nd St (b/t 8th Ave & 9th Ave) Hell's Kitchen New York, NY 10036,We stumbled into this placeMmmmm - now i will not pretend to know what "real" greek food is  but dafni's has never failed me!! (and i am either here or order from here about once a...Been here a few times.  Everything I've had here has been delicious.  Great food  good service.  Gyro meat is excellent.
La Silhouette,362 W 53rd St (b/t 8th Ave & 9th Ave) Hell's Kitchen New York, NY 10019,Food was tasty.  Service was interesting -- earnest but not world class.Very nice place! Super great food and even better service. I am giving 4 stars because of the price. It has three $$$ when it should be more of a $$$$....We went there for a special occasion.  Since we had tickets for the ballet after dinner  we had to eat a little on the early side.  The place only had one...
Print,653 11th Ave (b/t 47th St & 48th St) Hell's Kitchen New York, NY 10036,Perfect service  fresh heavenly food  lunch spot easy to get to on the west side. I love Print  would go again in a second!Print used to be the super-happening weekend hotspot when it was brand new.  Crowded to the hilt  with a line up to the rooftop bar.  Alas  times (and the...When I dined here  I didn't realize that it was inside the Ink48 hotel (and upstairs Press Lounge). I finally put it all together. INK / PRINT / PRESS....
Q2 Thai,788 9th Ave (b/t 52nd St & 53rd St) Hell's Kitchen New York, NY 10019,This is one of my personal favorite lunch spots in Hell's kitchen. Their daily lunch special includes one appetizer  one side salad  one soda  and one...Not impressed at all.  I had a hair in my food and didn't make a big stink about it since I was with friends.  The food wasn't bad  but I think that just...I've become very wary of restaurants that don't explicitly aim to serve gluten-free foods  where the staff does not speak great English  and the staff don't...
Orso,322 W 46th Street (b/t 8th Ave & 9th Ave) Hell's Kitchen New York, NY 10036,We dined here before a show based on Yelp reviews. I should have been wary of the reviews based on the fact that this is a theater district restaurant...Met my family here for dinner last week and my mother had said - "Oh I was able to get reservations!" which made me think it was hard to get in or...Excellent food great service and romantic place!! We started with very nice surprise with escargots (Lumache in Brodetto) cooked in the way we do in my...
Asiate,80 Columbus Cir Hell's Kitchen New York, NY 10019 ,After two visits to Asiate  I've come to think of this as the definition of a five-star restaurant.  The service both times has been wonderful.  One of my...My friend and I made a reservation for the 11:45 brunch.  We were the first two to be seated.  When we asked for seating next to the window  we were told...Great view.  Comfortable and quiet (the best attributes). Good service.  Decent food  but not amazing.  Worth trying at least once for a relaxing brunch.
Danji,346 W 52nd St (b/t 8th Ave & 9th Ave) Hell's Kitchen New York, NY 10019,Small  modern  minimalist.  Danji offer contemporary Korean cuisine at communal tables.  Menus are located in the custom drawers for their high top tables ...Honestly I was shocked at how good the reviews on this restaurant were. This is the first time I have ever felt the need to write a Yelp review simply...food is okay but not worth the wait in the cramped space. their sangria is really good though i have tried better korean food in my life but its worth a try...
Cara Mia,654 9th Ave (b/t 45th St & 46th St) Hell's Kitchen New York, NY 10036,Best Italian in Hell's Kitchen  hands down!!! Their food is fresh  and soooo tasty. Everytime I come here  the service is great. The wine list is pretty...Went to Cara Mia for the first time last night for dinner with the girls.  The ambiance was really cute  brick walls  Italian decor  candles and dim...What can I say other than AMAZING service and overall dining experience. I've come here on multiple occasions and service consistently exceeds expectations....
Chez Josephine,414 W 42nd St (b/t 9th Ave & Dyer Ave) Hell's Kitchen New York, NY 10036,Oh Jean Claude  you really have to do better; One day you fall all over me and the next you know me not! Food more and more erratic and service not up to par.A great french bistro. In the 1930's style.  Jean claude the owner is a great flamboyant host with a great menu!3 of us went for lunch and was pleasantly surprised by the professional staff and piano player! My sister and I split the spaghetti (Josephine's favorite)...
Bann,350 W 50th St (b/t 8th Ave & 9th Ave) Hell's Kitchen New York, NY 10019,BBQ chicken was awesome!!!! Ambiance was great!I walked past here one day and happened to have a craving for Korean food. So why not? I ordered a Bibimbap to go and was very happy with it. Probably not...The food  service  ambiance   & even the music was great. We ordered tuna bbq & sea bass  & both came with a spicy green salad. We bbq'ed the tuna ourselves...
Pam Real Thai Food,404 W 49th St (b/t 9th Ave & 10th Ave) Hell's Kitchen New York, NY 10019,A good go to place for Thai food. Their crab meat fried rice is delicious. I found their Pad Key Mao so much more flavorful and tastier than their Pad See Eil.I think Pam Real Thai is in at least the top 5 of authentic Thai food in Manhattan. Couple of highlights here:  - I tend to come later in the evening and...Typical fake 'Thai food'  too sweet or salty. Ordered 'highly recommended' Somtum (papaya salad)   asked for thai spicy  got something sweet  without any...
Lattanzi Ristorante,361 W 46th St Frnt Hell's Kitchen New York, NY 10036 ,On my first night of most recent trip to Manhattan  I used Yelp to look up potential dinner places.  Found Lattanzi  and the idea of Jewish Roman sounded...If you must eat on Restaurant Row  Lattanzi is a good choice.  Familiar food and friendly service without being rushed.We tried Lattanzi  Restaurant located near Times Square. We were  seated immediately even though we had no reservations.The host found us a table in the...
